cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
39169192#0,23704726#1,,-55423023#0,95396846#0,-161392598#0,30955660#0,47416766,30952224#1
97685754#3,22918541#5,,653663652,-257357805#0,58209110#3,95396813,89828187,-157360310
894991909#3,1165717964#0,,47118451#0,157249375,749995746#0,220552212#1,-199311779#13,-70509858#3
265068937#0,266086958,,-401190971,611278104#1,1057527744#1,157296628#3,724402164#3,153792684#0
-734696705,405795839,,1093327667#4,-97672288#2,70364449#2,-151175272#0,91006344#2,-43322645#2
718432414,1268288167,,-47118453#2,-178899417#1,1057527744#3,425640363,231439977#0,158177940#6
46869645#2,44884663#0,,47118453#4,-22562788#0,71470213#4,-162173424#1,683455643#1,-120531314#2
929013756#1-AddedOnRampEdge,568498789,,47118451#2,243800062,286703487#3,-407109951#1,89934511#4,464084177#1
97685728#1,511081977#0,,680508524,97671390#1,671522408#1,154971367#8,-198164114,960810632
39629431#2,24821259#1,,-47118451#1,157279302,70639085#0,151175242#0,182234686#10,98593764#5
151329169#3,-24372996#1,,-47118451#0,-178899417#2,349459713#0,31050180#1,182234686#17,-156575080#1
606147470#1,-667867184,,1124642424#1,97685751#1,88083349#1,95396831,591738594#0,158808588
4849049,46149610#2,,47118452#1,199152211#0,-228514822#0,-151175237,89934428#0,43322798#2
1026056857#4,-1028619483,,1237946797,46151435#2,156575055#11,168664005#0,-618273211,30948214#1
95277526#10,1028619496#2,,1124642428#2,368086013,266525191#0,199297129,738893122#0,1024125610#2
760752371#3,22823721#2,,-55423010,97672291#0,161392518#2,31047306#1,-533092485#1,98593749#1
33847144#8,171300277#1,,-47118451#2,-335539651#1,24294870#2,168664005#2,89881831#0,960810622
1132178318#0,257239011#0,,-680508547#0,-273211078#1,749995745#1,-392092815,23994706#0,526781973#0
40969585#0,24372991#4,,1124642424#0,97671381#3,-228056323,-228090241,531417291#0,153792689#2
139085562#1,-930964332#2,,59255423#0,95274339#1,71470194,59262034#2,395264623#0,148642781#1
46869645#3,746064101,,-365706989,95396757#1,-154253462#1,76187048#3,-89820771,-30948214#0
47025799#2,-24060330,,,157292774,230293774#1,-133434896#2,89825912#1,-126859161#1
315233373#2,1029279502#0,,,273211078#3,-154253461#0,199922055,92034761#14,30948680#4
690198420#0,400830346,,,-97672292#0,184250113#3,-157058447,-89934436#0,-43322798#1
-904911912,265010616#0,,,97672288#0,1057527744#0,162173388,89046669#0,-1024128471#1
4848928#3,257357812#4,,,97671471#2,-120588896#0,28063950#0,-199311779#9,23243743#1
-69963032#3,335539644#1,,,-97672293#1,261324433#0,367848148,772804653#0,-152185720
99591224,45177678,,,157296589#2,44886562#1,151175254#2,89934445#3,319196854#0
680788592#2,1165717963#1,,,95396757#2,749995746#1,-71470206#11,199311797#1,-43097008#8
315233373#0,45017540,,,95396805#0,-120588503#1,-103760989#3,89825903#27,199311767#3
538982927#4,297648261,,,611278105,-313849721#0,-157058463#1,-89934506#1,-152185736#1
196380141#4,44838842#1,,,273211078#0,467596342,120525586,89934443#1,-150349482#0
39629578#13,388577161#0,,,-95396827#0,-104353087#2,-152333598#2,231204850,51843919#12
4848932#4,584188113,,,97672287#1,104353087#3,1080759176#11,585469371#1,103751347#12
879780889,584188115,,,46151432#1,-120588459#3,682462419#0-AddedOnRampEdge,145581932#1,98593741#1
240388169#1,-46149185,,,178899419#3,792462092#0,392092817#1,-89831417#1,31297782#0
69963039#1,265010588#2,,,199152211#5,-1060224075#1,22736450#0,682261291#0,464084172#8
319196850#6,27241671#0,,,257357807#2,161392507#2,220548972#0,796186459,-43097008#9
895804510#2,680781714,,,97671395#0,228076698#10,162173401#3,89823541,154971175#4
879780891#4,-36688988#0,,,178899419#4,-261368286#0,372741501#2,89831417#0,196629130
539237086#2,131156087#1,,,46151425#0,-208649513#11,372741506#5,89825914#1,312195005#6
759379782#4,-426816157,,,273211156#5,-185216975#1,22375367,265221586#4,42305097#4
929013758#2,1028258364,,,198900384#4,120469241#2,-133287965#3,592386073#0,103751347#5
660988514#2,209366310#0,,,40969576,-88083349#6,-133288284#0,89881832#2,31297682#0
39629550#1,-171300262,,,856631371#13,-116436279#2,220548969#1,89934452,120531314#4
440392835#2,-45172804#5,,,1245764631,31280557#2,22562407#1,-54681242#0,156575070#5
47025799#5,645224085#1,,,-95274313,-70936554#4,157238663,89825903#2,-43100782#7
459561640#0,645224085#0,,,690601665,-208649513#1,-220548970#2-AddedOffRampEdge,89823549,150349482#1
-139718199,24053246,,,1055857393#0,161392519#0,517046814#2,583258515#0,41527657#0
895804510#0,548903448#4,,,74314555#1,201348372,-969494638#2,89825903#21,43724391#0
-1070720646#1,391633685#0,,,-46151739#2,-261368286#1,162173387#0,581537565,27727758#0
257233099#0,-46148745#1,,,538982926#6,-71502569#8,31096752#2,-32358841#3,648488815#0-AddedOnRampEdge
33847144#4,-44883356,,,622650808,-1060235885,168683423#6,99510470#0,157366896#0
538982927#6,45174138#0,,,97671397#6,88954527#2,184314030,395264620#0,71366317#0
139085562#3,44955970#4,,,97671376#0,261324433#1,172365189#2,260425576#0,-70509857#1
1245147127#1,45172604,,,157292833#7,156575055#10,449399206#11,31050856#0,-157058457#1
27695605#2,-45174083#0,,,240392355#3,-262334435#0,-168664008#0,89825903#18,-135838552#0
342481201#7,-335539638,,,97671387#1,1060226508,95396807,587259249#2,157366892#3
319195387#2,46149188,,,157292833#3,88561232#0,103760983#2,-89828174#0,-156942442#2
59263148#0,491027863,,,97671474#3,-156919890#1,30998306#0,750083498#4,1258453170
440392835#0,304919602#3-AddedOnRampEdge,,,-97685672,286703477#1,184315507#2,-31050856#6,1257133855#0
319195388#3,131156057#0,,,-97671331#1,24294873#6,-220548970#0,92034761#4,98593737#3
879780893,743545405#1,,,-46151739#0,1056779401,228076708#1,591995053#0,-55886805#4
172598650#3,-45172804#2,,,1143901792#0,161392557,154971368#1,381697486#2,156938654#4
942581083,-44838407,,,97671447,71488888#1,1297669676,-199311779#23,-126855563#1
651701877#0,694540174,,,74314565#0,70364449#1,-174022682#1,395264623#6,-1284307158
160074527,951326912,,,97671397#3,154800556#0,184293866#3,89822286,156575077#8
4848932#8,951326913#0,,,355240125#5,59262038#0,-156919890#3,89820767#0,-154819598#1
172665597#0,-45017437,,,-95274398#0,234268630#1,22730774#5,395264637#1,-31297738#0
39520581#2,269150818#1,,,203572463#0,-208649513#2,162173400#3,90835548#4,1257133851#0
33847143#1,44955971#0,,,69963033#1,-116436279#3,-220549212#1,395264639#2,-319185011#0
-147812381#0,46149023#0,,,690601667#5,-1301304519#2,367848145,89934434#0,878619655#1
44049166#5,296689963#2,,,1031976632#2,71470219,168664008#4,582894155#2,154458450#4
97685642#1,680781431#0,,,97671392#1,-951228306,22730778#0,1024849140,120531314#1
539237085#0,44838407,,,342481198#0,-208649513#13,174022712#2,89823567#5,126859159#0
718432415#0,-355202500,,,198900392#2,228090234#0,-22736181#2,587259249#4,158177940#7
97685613#2,-198900393,,,264298077#1,-154253465,392091747,92034761#9,43724405
680788592#4,-27241669#3,,,74314549#3,197665252#0,-31096719#0,395264636#3,154458450#3
97685613#1,23704749#0,,,680782188#6,-70364448#0,95396809#2,737611521#1,154084101#0
580847357#1,-131025941#0,,,97671376#5,88937127#1,-156919890#5,91686853#0,-1258451874#1
459561641#0-AddedOnRampEdge,-44884663#1,,,23488888#4,161392595#0,162173401#1,89934509#5,31297551#1
95274341#0,44884663#1,,,1284334995#0,-156919888#2,-103760979#2,182234686#23,150349482#2
151313104#1,682445842#0,,,97671394#0,156575055#5,120525537#2,607060797#0,-156942465#2
319195387#9,682445842#1-AddedOnRampEdge,,,97671376#8,-58209114#0,392092817#0,512189144,-1284303462#0
39520581#4,-173954118,,,74314560,-154253462#3,228090243#0,27916859#23,43101595#0
539237084#4,36688988#3,,,24061029#9,71470185#3,397642511#9,48390906,98593749#3
59266960#3,131110355,,,95274385#11,190552057#3,420082433,1299028152#0,-126859163#1
929013756#0,1028241262,,,97671401#0,154253454#0,174022674#1,89822307#0,304727921
139718208,388577163#1,,,95274384#0,-23313778,220549214#1,89823555#3,30949727
883261848#0,-44883381#0,,,23488887#1,743631281#4,304727708,19922745#6,-1024120796#3
929013755#1,609968226,,,97671343#5,-154253453,313606688#5,945962606#0,154082984#0
39169192#1,466032165,,,31046486#0,70936552#1,315539210#1,34605310,-154819713
240595361#3,682445842#1,,,1245764632#0,103945933#1,136506337#1,19922745#9,-30919524
151313104#0,209210744#0,,,-1234173061,-185216947#1,131633150,89831418#0,154082984#4-AddedOffRampEdge
39629550#3,24372996#1,,,525291476,-70794980#1,-133434783,89881843,98593737#0
39629550#0,198900394#1,,,-95274349#5,-161392620#2,528899353#2,-47416766,-43100782#4
760933235,-354858504#1,,,680782191#0,44886563,133230931#0,683464858#1,-148642793#3
95277526#12,-22918541#2,,,680782188#7,-44886562#3,22562407#10,438137502#1,-126855579
319195387#4,-131110319#1,,,97671426#1,103945938#1,392943690#4,-395264637#0,1055855907
95277526#3,23489088#1,,,172598551,46655387#1,1030678059#0,544170376,98593749#2
-660988514#2,45173866#1,,,-680782188#8,154253452#0,151175269#1,77100166#0,-148642796#6
680788593#1,131025969#2,,,97685712#0,24294870#9,22736451#2,543019008#2,58070987
1103811023,131025969#3,,,378284518#1,-190433614,-220548970#2,582894155#1,30952224#0
342481197#1,45172605#1,,,23770583#0,-230293774#2,-168663974#3,292495147,148642777#0
139082447,-44883385,,,23704115,266525183#2,152333575#5,-92034773#10,58686246
-158180857,354858508#0,,,-97671479,-161392519#1,220548976#1,583741284#7,31297682#4
39629578#0,-285664431#0,,,95274348#3,566057086,151175253#0,89881831#1,-43051364#3
39629431#0,-24372978#2,,,492442417#1,28063955#3,151175220#1,533092485#0,71281733#1
33847144#0,25824086,,,95274384#3,58209114#1,151175254#0,533092495,1023600527#0
282055760#0,173954137,,,23488891#1,-31303247#2,436182375#3,34605313#2,148642781#0
203572499,-680781427#0,,,48037790#3,184250113#1,-103760989#1,395264610#5,1273185319
139718219#0,746064103,,,74314565#1,161392610,365814433,772804653#2,-1023908216#0
760752371#0,-45172803#1,,,240388169#7,741687375,-168664008#3,89822295,31297738#3
884274229#4,304727919#1,,,-689924124#3,70794984#2,-517046027#1,182234686#3,1273185318#2
1025991803#1,-680781425#2,,,-24061029#4,190552056#1,28063951#3,-92029879#2,1024102270#1
-139718226#1,131025957#0,,,1284334995#5,44886560#1,-103760979#7,89825903#4,156942465#1
1158715738#1,-220547267#1,,,97685693#2,23288278#0,-157292942#0,98883477#5,148642769
759379782#2,102519003,,,240392355#0,31280557#9-AddedOnRampEdge,151175230,89881854#0,518647368
88690557#1,396771661#2-AddedOnRampEdge,,,1085022611#1,-154253460#0,261326133#2,-531417291#0,30948680#2
894991909#4,466032171,,,97671476#2,24294870#4,-449396163#2,199311794#16,55949732#1
69963039#2,670065088#0,,,74314555#2,88956623#1,-454877730#1,-89881819,43100782#2
929013763,492432409,,,378279500,156919937#0,1024125608#0,43991629#1,1056397449
95277526#5,-350217576#1,,,74314557#1,70350396#5,92377217,89831418#1,-135838552#3
606147470#0,131025946,,,178988161#6,-258044916,387345131#1,395264631#2,1237946796#1
651701877#2,670065088#2,,,97671424#2,23298951#2,392090724#7,759797589#1,-43101595#2
1245147126#1,1147401996,,,95274348#2,70936554#5,228090233#3,395264626#0,135838552#5
139085561#2,-102519007#0,,,-680781433#1,23288277#5,1184567002#0,89881845#0,42305097#2
69962700#1,353940879#0,,,179260411#4,-148642786#6,-151175247#1,91689528#1,148642796#2
760734685#3,46149195,,,199152184,161392518#1,-157292953,-395264626#6,-30952224#1
4848928#4,879498552#1,,,273211091#3,-120469239#0,184314046#1,89823562#1,98320320
172598650#1,102126349#1,,,-1279121053,-161392513#0,-103761129#6,592386073#1,154458437
736973905#1,31237829#2,,,95274362#1,1057054855#2,-133287965#2,30931326,-153792684#2
932390016#1,269150818#0,,,-680781433#2,116436279#4,-30955660#1,265225082,-1023912413#1
676291217#2,-1120579613,,,69963033#0,1057527740#1,528899354#1,-89823541,312194999#3
4848932#0,100102319#1,,,517127275#0,161392507#0,-103761129#2,705001281,30946041
-651701877#0,-23488562#0,,,196380150#0,792462092#5,220548969#0,199311794#15,1186502809#0
539237084#1,987049868,,,198900384#2,1279886347#0,-174022677#1,23363176#1,-41527657#3
929013756#1,667867184,,,-1055857393#0,-671522408#1,28063950#1,-503056678#0,1067778049
282055760#3,332634094#2,,,97671327#0,120588691#1,-169811760,89929096#0,158806764
243268914#0,-44883357#1,,,689924123#1,154253470#6,-199297129,99510466#2,135838438#2
139718225#2,131025950#2,,,163198815#7,-88083336#2,969494638#1,-89825914#4,-30948214#1
539237085#2,-45172804#3,,,97685761#3,71502569#5,151175247#0,-166180319,30947123#2
44049166#4,-131025950#4,,,636502358#2,-161392513#1,31050180#0,-265221586#4,648488816#6
97685735,46149190#1,,,178988162#1,31280557#8,-199922055,27916859#7,436048957#0
968060910#3,45172803#0,,,97671442,161392616#0,95396832#1,92034761#0,70330618
-240595359#1,23704718#2,,,157296623#1,-120588503#3,152333575#1,-395264639#1,436048951#0
879780894,391633685#1,,,198900384#7,-161392603,-969494638#0,89823562#0,99702521#0
4848928#0,354858508#1-AddedOnRampEdge,,,97671458,70936551#4,-133288286#1,89828176#0,1258453171#1
883261847#4,354858508#1,,,179260411#1,28063955#2,-151175269#2,231439986#0,-526781973#0
667962675#1,-23704733#1,,,215959964#4,70936551#2,392943665#1,586176997#2,-153792689#2
151329184#3,45172805#0,,,97671423#0,190552056#3,103761129#3,89881854#3,-148642781#1
23260765#1,354858485#2,,,342481196,-261324433#0,-162173424#0,89881836#3,-319196848#13
690601674,154125462,,,135175652#1,91096669#0,315539209#5,89823555#2,198929893#3
174757575,-131025946,,,157296623#2,58209112,151175266#2,589240682,55886812#0
21957625#1,23704733#0,,,97671355#0,185216952,-22736451#3,237393909#1,381697485#0
263956787#0,46149604#1,,,1245989824#0,1028573258,174022632#1,43699315#11,-70610406#1
203035366#0,265010616#1,,,179260411#2,742072640,-22562403#3,543019007#0,43680733
27085151#7,-44838405#1,,,24061029#3,71470223,400705708#2,-77100175#0,62332142#1
23260765#0,-131156400#0,,,95274372#4,-154253460#1,-168683414#4,89831417#2,98593789#2
993526140,-131025954#1,,,97685779#1,88083341,-22562407#1,314205672#6,198929895#0
139504332#1,-285677614#2,,,198900396#4,1057527741#1,1024125608#1,89881841#1,76187053#1
1105155924,388577161#1,,,-172598552#1,157058384#3,-151175271#0,-683459298#0,-1024102266
436862683#0,651677176,,,157292833#15,161392620#1,120525537#4,89939060,157366892#0
147801987#0,45172803#1,,,97671461#2,-161392507#2,969494643,89823564#1,71366317#9
72465971#4,-667959153,,,48037790#2,23217864#2,-449399206#12,199311779#19,27727791#7
269039964,24821261,,,97671484,-228076698#11,30954471,945962606#2,956136645#1
-203035387#3,388577158,,,74314558#0,228076698#3,184314035,23995046,-31297738#7
59266960#1,257239019#0,,,97671386#2,1057050907#1,220549213,-89825914#20,30952224#8
203133457#0,332634091#3,,,178988162#0,31277568,-30998306#0,-31050856#2,312195005#9
89043372,266086965,,,525291477,-30841649#8,319196849#1,438132738#0,648488815#0
1196926578,266086964,,,23488888#1,-120469241#2,22736450#1,89934436#1,-43680741#0
436042878,198900394#0,,,1105285853,46655387#2,152333575#4,-199311779#7,-319196848#8
72465971#1,1117138480#1,,,46151739#9,70794980#6,-228076708#1,-736550490#5,-154971175#5
232802296#3,102519007#0,,,-92223190#0,71470190#15,368085651#1,-591995053#0,-99702521#3
-1254262172#2,243799234,,,95274345#0,-161392519#0,319196849#8,-579331696,1186502809#2
227081759,548903448#3,,,680788591,88956624#0,22736449#0,-89828168,71281735#2
647930457#0,1166015108,,,97671338#0,-228056325#4,-174022682#0,381697486#4,156575077#3
257233105#3,580847350#1,,,97671387#3,-161392635#0,184314056#0,199311779#0,-41527657#2
174758265#0,131110375,,,-46151215#0,88083347#3,-397642511#8,-395264637#1,436048947#9
550689175#2,-27241668#3,,,378279504,227968024#0,888035089#2,543019008#1,-120531314#4
196380156,-44884663#0,,,199152223#0,-70794984#1,152333598#0,89881845#2,-1024115416
-371560393#2,257239009#1,,,48037790#0,156919887#3,-1024125611,395264623#5,-31297682#9
203035351#0,332634094#1,,,40969586#3,986505886#0,157058387#1,37672006#6,-199311778#2
24461574#0,171300262,,,97671401#1,71470190#9,-22562407#0,231524291#3,-157366896#1
90795016,257239015#1,,,97671427#0,-1060226508,368083806#1,19922745#11,27727791#4
196380149#0,173954128#0,,,680782188#1,154253434#0,-133288284#5,561014433,199311765#6
23874647,173954124,,,172598637#3,161392513#3,31053660#2,-395264639#2,98593764#0
23815145#0,-131025939#0,,,97671449#0,1057050911,392092817#4,89825910#0,30949704#0
1105155927,265010585#0,,,680782195,-1056779406#0,368086015#1,579331698#0,154458468
31046191#0,396771661#4,,,-97671337#1,960810631#0,151175266#3,589249428#0,706102508
40969565#0,-44838841#3,,,69963033#2,23288277#4,157292846#6,156938659#5,158177940#2
92219075#2,170624721#4,,,-525291476,-154800556#0,-174022674#1,-579417817#1,43097008#1
-263956787#0,131025929#1,,,1085022610,-234268630#1,392943690#7,91686849#3,30919469#0
1065038799#0,-23488568#0,,,196380150#3,98593792#1,420083581#0,438137485#0,436048949#2
23579065#1,23488568#1,,,680789275,154253469#0,228076708#0,-22720676#8,304727814#1
517127275#0-AddedOnRampEdge,296690015,,,245069170#3,-197665252#0,174022677#3,231524291#2,-154824101#0
196380137#0,388577162#1,,,97671343#6,184314060#2,157058463#2,89046669#8,-1258453170
1254563378#0,23704733#1,,,-680782191#0,365706952,120528162,772804657#0,98593737#2
203035379#0,131025963#0,,,4848943#0,1028619491,133434826,89822310#1,154819636#0
51933184#4,332634092#3,,,24061110#0,148642786#1,184315497#1,27916859#12,103751347#10
23261468#0,-304727992,,,1085022603,154253470#4,103760983#1,-512189144,-57889595#3
92403874#0,1117138480#0,,,-95274349#0,749829569#4,1135574250#2,-581537566,-55670063#0
1254262177#0,396771661#3,,,97671475#0,-154253454#0,392088983#1,-314205672#5,30948214#3
263956787#1,171300263#0,,,24061029#8,-313849721#1,492041972,-1024849137,1284308176
274503992#1,24803931#1,,,1245764636#2,154253454#1,-454877732#1,89822307#1,126855545
42294745#2,24821311#1,,,680781435#0,228090234#2,71488894,542927921#0,319196855#2
269039975#0,-44883381#3,,,691145247,71470213#5,702669087#1,-91689528#10,154027557#1
152413934#3,209366310#1,,,680782191#1,-70794980#0,-151175269#1,27916859#16,43051364#1
145397104#1,680781716,,,1031976632#1,-261368286#4,220548972#1,395264620#8,706102496#2
145405916,45177681,,,1085022605#0,-103945938#1,184250112#0,91006341#1,31297682#1
-436042878,-23488561#3,,,97671397#5,-46655387#1,184315506#1,89934444#0,319197093#0
-286703474#2,863546409#1,,,46151742,-71488888#3,59262034#1,22720676#4,260425575#1
27085151#5,391633685#3,,,1177591510,-154253452#0,-151175253#2,89828155#0,98593789#0
51933186#2,59254385,,,-492442417#1,88956622,168683396,91006343#1,156575077#5
-227081759,131025954#0,,,857738564,960810634#0,103760979#1,91730169#2,-56240930#0
174757564#2,998621643#1,,,1245147131,1057050913#0,372741506#4,395264626#5,-120531314#1
92243929,1268288170#0,,,97671445#1,161392616#1,-151175267#1,395264632#0,-126859159#0
-550689175#3,1117138479#1,,,-680782188#2,71502569#3,1024125613,-89828174#1,-158177940#7
517127276#0,1166015104#0,,,95274324,-190433608,174022681#1,99510466#0,1055857388
72465972,-1027009172#2,,,1245989822#0,-228056325#1,-22736451#5,381697488#0,148642770
-1031963654#1,4853035#0,,,652152437,228076698#6,-162173400#4,-591995053#1,154458464
958539573#0,257357820,,,74314553,-266525183#3,365818022,314205672#1,314088440#2
24461574#2,355202491#2,,,97671343#0,-208649513#6,419753739#0,395264628#5,56241383
1031963656#2,285664431#1,,,97685779#0,1237936906#0,367848147#0,-292495147,98593775#0
174758259#0,285664431#0,,,74314562#2,-28063955#3,120525547#1,23994706#8,1023600527#2
51933186#1,36689410,,,355240125#1,-58209114#2,220551733#0,-91689528#12,154971175#2
342448077#3,396771661#1,,,1055857394#1,208649513#14,162173391#0,583258514,-1024100296
631239772#0,269150833#1,,,-60659454#0,234268630#0,157058379#2,89934509#3,-98593749#3
1104965190,-23488561#2,,,-968060908,-262334435#1,449490580#4,314054616#1,43680742#3
1254563376,46149193#3,,,97671475#1,-1257441179,-151175253#1,381697487#3,30948680#3
232802296#1,-131025950#0,,,46151426#2,-23243742,-151175230,89929109#0,312195005#8
152413934#5,355202491#0,,,273211156#2,70936546#0,184315508#1,-89822295,1257133851#2
286703470#0,-46149604#0,,,97671337#3,28063955#1,22730774#0,587259249#3,157366896#2
-145405917#1,717183325,,,24061029#2,228514822#1,454877730#0,89934511#3,-43099711#3
387312965#0,257233100,,,97671436,31035836#1,-22562409,-597398401,-43680742#2
174758259#2,149851229#2-AddedOffRampEdge,,,97685742#0,208649513#7,22736445#1,395264607#4,1011347576#0
27085151#0,149136361#1,,,97671411#0,-154800540,315539209#3,89881832#1,-1055857401#0
-174757564#1,511081977#1,,,1031976629#4,46655427#0,-261326133#2,436048944#0,-58070987
51933184#0,319196853,,,178988162#8,70364449#6,615528182#0,89823547#2,96828486#1
286703486#0,-23488568#1,,,97671486#0,-103945938#0,120525537#7,166276326,198929893#2
1196926577#1,44955971#1,,,97671394#2,58209119#0,103760979#3,89823552#0,-148642777#0
23260464#0,-285677614#1,,,1105285858#0,174022633#2,-120525537#5,772804655#3,70353937#2
23579065#0,149136360#0,,,478293894#0,154253470#3,168663974#4,1126144531#0,-148642796#0
239796983#0,45172800,,,1055857394#2,190552056#0,-449399214,683458164#0,148642771#1
158180858,46149027#1,,,-680782193#2,-161392518#1,-92377217,199311779#24,-58686248#1
254328041,1027009172#2,,,-97671442,-23288277#3,23298952#1,44776183#1,70509859#0
51933184#2,46149604#0,,,-667962682#0,161392518#3,-184314046#1,395264606#0,156575070#3
23579065#2,23990057,,,680782188#3,1060226506#1,392092819#1,-265221590,199311764#0
174758265#2,209215786#0,,,-355240125#0,-88083349#3,151175260#1,89881815#1,57889595#0
691015446#1,257239010#0,,,-97685724,228056325#2,392092817#3,395264619#3,198929895#1
203035387#3,-269150818#0,,,1105285858#1,749995746#2,184293866#1,198164114,44308179
51933184#3,-269150818#1,,,273211156#4,103945933#3,1024125608#2,89825903#9,114496998#2
550689174,680781426,,,95274349#2,161392626#1,1080759176#0,44776176#8,-43101595#5
-72465972,46148744,,,97685742#2,161392518#5,30929622#3,236667129#7,-960810617
174757576,44884105#4,,,1245147141,230293774#3,22736451#0,182234686#0,-31297738#5
1254563377,-1027009173,,,74314562#1,-71502569#2,95396837,-54680197,198929893#4
-1031963656#3,30177142#1,,,-24061029#0,-154253470#6,220548975#1,-54680194#2,-1273185318#3
22730601#1,-45172804#0,,,1284334995#1,58672755#1,133230931#1,173185148#6,55670063#1
269039960,171300263#1,,,97671451#2,749869679#1,425464569,-58686903#6,1024125610#1
92219075#0,131025941#0,,,97671486#2,154253461#1,261326126#3,-91008672#12,71359525#2
196380152#2,285664427,,,4848943#3,-228090234#1,120525530#0,682270676,-156942465#1
38790699#4,27241668#2,,,157292833#6,120588896#2,151175259#3,683457664#0,312194999#1
23579065#8,-211740191,,,172598637#1,1229917614#0,-71470206#5,238153162#0,1258451875#0
152413934#0,-614989353,,,97671424#3,24294873#5,22730778#1,34996350#1,-148642769
-153190951#2,131025954#1,,,97671467,-190552056#3,151175269#0,160733175#0,-135838552#1
-1031963656#2,651677178#0,,,97685645#3,185217007,31053667,1126144529,99702562#0
33847140,1165717968,,,95274385#6,154253463#1,1056330394,126855578#0,-1024120794#1
371560393#0,-44838406,,,856631371#16,58209110#2,-151175247#0,-32837821#3,58686258#4
196380133,265010617#0,,,-46151739#9,-46655426#1,-135704845,32837821#0,154458450#1
92403812#0-AddedOffRampEdge,45172606#1,,,1085022611#2,70936552#3,151175242#1,58686905#0,-43100782#2
-1254563376,31237889,,,-95274345#0,-671522408#0,156942470#0,54680197,-135838552#5
538982921#0,-23488561#4,,,680782192#0,34078513#2,228076693#0,54680194#0,199311767#0
254711096#0,44883384#0,,,46151739#2,-88083341,220551733#1,34996350#0,-148642796#3
92219077#0,24053276#1,,,269150840#2,-23217864#3,184293863#1,23443532#0,31047303#6
-147801989,23704749#1,,,264298077#6,-161392620#1,151175267#4,587870652,956136646#1
257233098#3,285664437,,,97671480#1,88937129#1,151175222#2,58686903#0,436048947#2
92403812#3,319196860#0,,,157292833#0,161392598#0,667865212#0,91008672#11,154027637#0
538982923#1,46149193#2,,,95274384#2,168663961#1,103760979#6,381697489#0,-157366894
23261468#1,131025969#1,,,97685747#3,71470177#2,-103761129#3,-126855578#0,-43322650#2
-265068932,157345942#1-AddedOnRampEdge,,,163198815#5,161392519#2,-184315507#0,1126151010#1,372443876#7
1105155921#0,810758264,,,273211156#3,-70794980#6,157292942#1,-32837821#1,30956014#0
263956786,297648257#1,,,-46151739#7,148642786#5,-174022632#1,-34996350#0,1257133857
-1254563377,265010575#1,,,-46151739#10,174022595#2,174022674#6,-23443532#2,436048949#0
145405910#1,651637968,,,273211156#0,91096669#1,372741504,-587870652,436042882#0
286703474#2,-149136360#0,,,-680782188#1,-679941679,31096752#0,236999710,148642787#0
203035354#3,548938581#3,,,97671393,-261368286#5,-400705708#2,160733175#4,43097008#4
163198807#0,131156400#0,,,269150842#5,88083347#0,31053515#0,683457663#0,-99702521#0
1126405651,174022683#0,,,680760292#0,-161392551,-1024125608#1,-91008672#15,103751347#9
274503992#0,257233100-AddedOffRampEdge,,,1031963664#2,228056323,-151175272#1,32837821#2,154027637#1
538982923#3,355202496,,,97671331#1,-161392586#1,-133287965#1,91008672#4,96828486#5
1031963654#0,131025939#1,,,46151739#0,88083347#1,156290978#0,173185148#0,1258451874#3
392936653#0,174022673,,,691144012,-154253434#0,151175223#6,193267476#0,120531314#3
31046191#2,1028619496#0,,,198900392#0,-201348370,-266525211#1,91008672#0,-381697485#0
92403812#0,131025969#4,,,95274398#0,-161392513#3,-120525537#4,193267476#14,1258451874#2
-23578870#1,170641388#1,,,-680789275,743631281#1,136506337#0,173185153#4,-1055855910
203035348#0,24803926#0,,,-245069170#3,154253462#1,-168663974#1,-91008672#7,-43097008#3
537438905#1,170641388#4,,,97671449#1,154253461#0,-30998306#1,173185148#3,-76187053#1
-389357542#3,1165717969,,,269150842#0,120588458#1,228076708#2,173185152#1,960810628
40969570#0,131156028#1,,,97671452#0,120588503#1,174022674#5,126855578#1,304727814#3
-257233098#5,-746064104#0,,,46151215#1,-23288277#4,-30954471,-91008672#2,-290874174#5
128703671#0,23704718#3,,,1245764640#2,120588459#3,168683414#2,1126151010#0,199311765#0
39520757#0,46149193#0,,,1085022602,196629589#5,392943665#0,91008672#13,436042880#5
-257233105#1,682445838-AddedOffRampEdge,,,95274374#1,24294873#7,372741506#2,91008672#9,135838552#6
287006578#0,682445838,,,-680781435#1,-154253469#0,151175237,682272135#0,772804658#0
145405917#0,-45174083#1,,,-680782196,261368286#0,168663971#3,173185153#1,436042879#1
-174757567#1,170641388#3,,,-680782191#1,-365706952,517046814#4,1061617399#0,1023600527#3
174757564#0,24821288,,,95274385#9,208649513#11,152333576#0,-126855578#3,-706102496#0
657589863#0,44883013#2,,,1245147132,185216975#1,-31096752#1,-91899428,312195003#4
1245149971,44955796#2,,,-355240125#4,1057527740#3,162173413,724813381,-148642777#1
273211040,-466032168,,,-968060906#1,1057054858#7,120528204#0,193267476#10,-43097008#6
-23260465,131025941#2,,,-680781436,88083349#6,-319196849#8,-91008672#10,1011347575
-1031963656#0,-46149611#0,,,135175652#0,116436279#2,-199921334,682270675,148642787#2
