cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
47905475#5,680781428#0,-44884669#1,190533567#0,-157238666#2,-1057050913#1,-261326133#0,89041314#7,56016102#1
968218279#0,-680781428#4,376769524#0,579776240#1,438405583#2,161392595#1,184314043#1,722841716#3,46655812#2
-47905475#11,-168573481#1,44884671#1,-47113636#5,94094802,261368286#4,-133287966#0,-395264617#4,185216958
59254369#1,679785216#4,172627212,47981636#0,228056318,-261324434,372741505,-196947991,871138580#0
186846963#0,597045663#1,170624701,149852649#1,667863953#0,-120588503#0,-22562403#2,58683159#0,-750339758#3
154824596#0,171300272#1,129219190,1066886864#1,160732454#0,744892450#1,-449399206#13,37672006#9,1056881227#1
-146744472#0,-350217575#5,368074414#0,-71367240#1,1126340240,-23243740,184314051#0,503056678#0,71500760
-208646342,-429714228,-44884669#0,-1056876862,273211082#2,71488888#2,22730774#4,91006344#0,-1021561138
354858501,23489088#0,-170624690#0,4857837,265176187#2,-31303247#0,95396812,193618810#1,-401190983
139085555,257239020#1,44884667#3,-47114116#0,368086828#7,116436279#0,228090243#1,166180319,146937564
134923819#0,-45172804#4,-167023144#1,-1057198633,1126340241#1,228056325#0,667865216#1,89881824#0,-680497679#0
-47905475#10,45172804#5,44884666#2,47981657#0,264109548#1,190433608,-162173400#1,395264639#1,57362799#0
69962703#1,257357816,44884665#1,1229890430,-273211103#1,208649513#6,103760979#0,89820772#2,386246055#1-AddedOnRampEdge
139082412#1,44955974,-184580019#1,-47111169#0,95282530#1,-23288386,184293857,872286905#1,46655813#3
45174351#0,-131025954#3,23766689#1,1056876860#4,95396825#6,304727900#0,-151175271#1,43699315#0,59584806#2
-186846963#1,597045662,1028573261#2,1056878773#2,93713546#2,23288277#2,667865207#1,89929096#3,46655493#1
413095251#2,257239019#1,44884666#1,462324821#2,993551535#0,-70936554#1,-174022677#5,-395264612#7,-1064731222
134923812#1,285664494#1,-1028570786#0,-398675574#2,1126340243#2,1257441179,95396853#6,89881854#2,71686368
-146744473#2,296689963#0,44884665#2,-47113630#0,35215988,23243742,-22562407#5,77100175#0,-1021561139
151329169#9,23488561#4,-1028570786#4,-47981623#1,94094852#2,104353087#0,1024125617#1,92028366,-46655819#2
1278542562,23488561#5,170624731#4,-72843607#0,95396785#4,23243736#0,71470206#2,89881861#0,1063455939#1
-968218276,30842114#0,368074418#2,302028394#1,-95282587,156919938#0,372741501#0,89823547#0,45701220#2
891285338#0,102126349#0,-1028570786#3,1058036876#3,202905133,24294873#0,184315506#0,89825914#10,145719422
146744473#1,44884664#0,1028573262#0,-47113642#0,-157214540#1,154800540,367848147#3,-231524291#0,1063455939#0
